id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
30010355;Rental unit in Barcelona · 2 bedrooms · 4 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;el Barri Gòtic;4.138.511;217.607;Entire home/apt;286;1;0;;;141;265;0;HUTB-001669
29642165;Rental unit in Barcelona · ★4.40 · 3 bedrooms · 3 beds · 2 baths;158023606;Habitat Apartments;Eixample;l'Antiga Esquerra de l'Eixample;4.139.143;21.573;Entire home/apt;469;1;82;29/05/2023;1.55;133;137;19;HUTB-004565
30365978;Loft in Barcelona · ★4.90 · 1 bedroom · 2 beds · 1 bath;47526126;Ash;Ciutat Vella;el Raval;4.138.546;216.736;Entire home/apt;179;32;72;05/06/2023;1.38;2;166;32;Exempt
30010521;Loft in Barcelona · ★4.45 · 1 bedroom · 1 bed · 1 bath;26059902;Jenny & Pol;Horta-Guinardó;el Guinardó;4.142.613;217.355;Entire home/apt;60;31;11;24/02/2023;0.23;20;330;1;
30366030;Rental unit in Barcelona · ★4.83 · 2 bedrooms · 2 beds · 1 bath;227962845;Apart;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;414.037;221.186;Entire home/apt;200;3;46;22/05/2023;0.84;5;148;12;HUTB-009332
29646339;Rental unit in Barcelona · Studio · 1 bed · 1 bath;1709128;Denis;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.747;218.261;Entire home/apt;50;32;1;09/05/2023;0.91;7;364;1;
29647947;Rental unit in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 bath;2819397;Leslie Maria Ella And Arthur;Eixample;la Dreta de l'Eixample;4.138.995;216.533;Entire home/apt;200;32;4;29/03/2023;0.31;43;117;3;
30015010;Rental unit in Barcelona · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.386;217.145;Entire home/apt;234;1;1;31/12/2021;0.06;141;362;0;HUTB-001920
30374999;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;228107451;Lucas;Ciutat Vella;el Barri Gòtic;4.137.994;217.805;Private room;40;1;0;;;1;0;0;
30028872;Rental unit in Barcelona · ★4.47 · 3 bedrooms · 5 beds · 2 baths;220741284;Barcelona Beach;Sant Martí;el Parc i la Llacuna del Poblenou;4.139.548;219.436;Entire home/apt;57;30;15;24/05/2023;0.31;2;40;7;Exempt
30387518;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;50888658;Ana;Horta-Guinardó;el Baix Guinardó;414.087;216.955;Private room;21;1;0;;;2;0;0;
29649635;Rental unit in Barcelona · ★4.35 · 2 bedrooms · 3 beds · 1 bath;10345559;Sergi;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.455;217.094;Entire home/apt;100;2;283;06/06/2023;5.07;1;224;66;HUTB-007749
30034202;Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 1 private bath;27151874;Jesus;Eixample;Sant Antoni;4.137.999;216.237;Private room;96;1;5;21/05/2023;1.47;1;116;5;
29668043;Condo in Barcelona · ★4.53 · 4 bedrooms · 10 beds · 2 baths;223291989;Marc;Sant Martí;la Vila Olímpica del Poblenou;4.139.306;219.395;Entire home/apt;366;3;110;25/05/2023;1.97;1;273;29;HUTB-003078
29669709;Rental unit in Barcelona · ★4.63 · 2 bedrooms · 3 beds · 2 baths;8130906;Arina You Stylish;Sant Martí;el Parc i la Llacuna del Poblenou;4.139.516;219.088;Entire home/apt;418;1;63;20/05/2023;1.17;33;229;15;HUTB-016704
30035292;Condo in Barcelona · ★4.73 · 1 bedroom · 1 bed · 1 bath;66933654;Ruby;Sant Martí;el Poblenou;4.140.546;219.642;Entire home/apt;120;2;11;22/04/2022;0.22;4;11;0;HUTB-004998
29671592;Rental unit in Barcelona · ★4.81 · 1 bedroom · 1 bed · 1 bath;190325648;Martin;Eixample;la Dreta de l'Eixample;4.139.868;216.237;Entire home/apt;183;4;84;23/05/2023;1.54;2;43;28;HUTB654321
